dataset,dataset_source,method,seed,status,epochs,train_n,test_n,input_kind,seq_len,classes,embed_dim,heads,layers,device,parameter_count,train_seconds,train_loss_last,learned_alpha_mean,attention_nonzero_ratio_last,peak_memory_mb,accuracy,macro_f1,loss,inference_seconds,nonzero_ratio,wall_seconds_total
fashion_mnist,torchvision:fashion_mnist,topk_softmax_0125,2,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,8.480164200009312,0.5086451172828674,,0.1764705926179886,34.84326171875,0.798,0.7962445383481352,0.5526389011314937,0.1346350999956485,0.1764705784264065,10.416390800004592
fashion_mnist,torchvision:fashion_mnist,topk_softmax_0125,3,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,7.691068799991626,0.4651029407978058,,0.1764705926179886,34.84326171875,0.814,0.8142360771766249,0.4983901069277808,0.1738497000187635,0.1764705784264065,9.303893900010737
fashion_mnist,torchvision:fashion_mnist,topk_softmax_0125,4,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,9.560424299997976,0.4990289509296417,,0.1764705926179886,34.84326171875,0.802,0.8010700627645916,0.5464109622296833,0.2291792999894824,0.1764705784264065,11.562915399990745
fashion_mnist,torchvision:fashion_mnist,topk_softmax_0125,5,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,10.62110330001451,0.4075442552566528,,0.1764705926179886,34.84326171875,0.8055,0.8018257128078006,0.5297978250753312,0.2352004999993369,0.1764705784264065,12.333449099998688
fashion_mnist,torchvision:fashion_mnist,topk_softmax_0125,6,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,10.061393800016958,0.3071029782295227,,0.1764705926179886,34.84326171875,0.8125,0.8116275306030294,0.5134464559100923,0.2024722000060137,0.1764705784264065,12.877994299982674
fashion_mnist,torchvision:fashion_mnist,topk_softmax_0125,7,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,8.054731899988838,0.6387611627578735,,0.1764705926179886,34.84326171875,0.815,0.8138330448983021,0.5046606049651191,0.1296499999880325,0.1764705784264065,9.991737900010776
fashion_mnist,torchvision:fashion_mnist,topk_softmax_0125,8,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,7.18369820000953,0.4657520055770874,,0.1764705926179886,34.84326171875,0.811,0.8147116781214567,0.5440856842767625,0.1121366000152193,0.1764705784264065,8.851942799985409
fashion_mnist,torchvision:fashion_mnist,topk_softmax_0125,9,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,7.47881060000509,0.5730347037315369,,0.1764705926179886,34.84326171875,0.7965,0.7911381556137708,0.573459865081878,0.1254414999857545,0.1764705784264065,9.041540200007148
fashion_mnist,torchvision:fashion_mnist,topk_softmax_025,0,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,8.971508099988569,0.3786419332027435,,0.294117659330368,35.04248046875,0.8105,0.8123982598384624,0.5461328795978001,0.1381591999961529,0.2941176309472039,11.202492800017351
fashion_mnist,torchvision:fashion_mnist,topk_softmax_025,1,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,7.389483700011624,0.4349004328250885,,0.294117659330368,35.04248046875,0.8115,0.8098689447605973,0.5365889895529974,0.1238247000146657,0.2941176309472039,9.13768230000278
fashion_mnist,torchvision:fashion_mnist,topk_softmax_025,2,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,8.093676799995592,0.4858779609203338,,0.294117659330368,35.04248046875,0.804,0.8032383812322367,0.5724888358797345,0.137729300011415,0.2941176309472039,10.236406200012423
fashion_mnist,torchvision:fashion_mnist,topk_softmax_025,3,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,9.414437100000214,0.4766043424606323,,0.294117659330368,35.04248046875,0.816,0.8105696339639875,0.4997443897383554,0.1713756000099238,0.2941176309472039,11.176749000005657
fashion_mnist,torchvision:fashion_mnist,topk_softmax_025,4,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,8.848868200002471,0.4979186952114105,,0.294117659330368,35.04248046875,0.796,0.7970886764177398,0.5667137532007127,0.1122041000053286,0.2941176309472039,10.616475399991032
fashion_mnist,torchvision:fashion_mnist,topk_softmax_025,5,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,7.254178799979854,0.3340335190296173,,0.294117659330368,35.04248046875,0.807,0.8049974246897064,0.5404328845796131,0.1389351999969221,0.2941176309472039,8.832225899997866
fashion_mnist,torchvision:fashion_mnist,topk_softmax_025,6,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,8.773688999994192,0.4118723571300506,,0.294117659330368,35.04248046875,0.802,0.8013507719909592,0.5303883878957658,0.1634804999921471,0.2941176309472039,10.4871293999895
fashion_mnist,torchvision:fashion_mnist,topk_softmax_025,7,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,8.795825399982277,0.5767202973365784,,0.294117659330368,35.04248046875,0.7995,0.7990738146839307,0.5401984524159205,0.1404328999924473,0.2941176309472039,11.608103699982166
fashion_mnist,torchvision:fashion_mnist,topk_softmax_025,8,completed,6,8000,2000,patch,16,10,64,4,2,cuda,104970,6.200522700004512,0.4883643388748169,,0.294117659330368,35.04248046875,0.814,0.8135521773271647,0.5337697125616527,0.1154704999935347,0.2941176309472039,7.90281880000839
